Freq: MHz, Temp: C, Volt: V, Current: Amp, Power: W
A7 CPU0 Freq, A7 CPU1 Freq, A7 CPU2 Freq, A7 CPU3 Freq, A15 CPU0 Freq, A15 CPU1 Freq, A15 CPU2 Freq, A15 CPU3 Freq, A15 CPU0 Temp, A15 CPU1 Temp, A15 CPU2 Temp, A15 CPU3 Temp, A15 Volt, A15 Current, A15 Power, A7 Volt, A7 Current, A7 Power, Mem Volt, Mem Current, Mem Power, GPU Volt, GPU Curr, GPU Power, GPU Freq, GPU Temp
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 52, 48, 52, 50, 1.308750, 0.755692, 0.987540, 1.261250, 0.172996, 0.216892, 1.215000, 0.067704, 0.081405, 0.988750, 0.093176, 0.091884, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 48, 53, 52, 1.310000, 1.062846, 1.391220, 1.261250, 0.223504, 0.281203, 1.215000, 0.074256, 0.089910, 0.987500, 0.093784, 0.091791, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 48, 53, 52, 1.311250, 0.861456, 1.127910, 1.262500, 0.175253, 0.220850, 1.215000, 0.064701, 0.077760, 0.988750, 0.094240, 0.092872, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 49, 53, 51, 1.310000, 1.116550, 1.461960, 1.265000, 0.172020, 0.217580, 1.215000, 0.066248, 0.080190, 0.988750, 0.094240, 0.092872, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 48, 54, 52, 1.308750, 0.777064, 1.016316, 1.262500, 0.170007, 0.214540, 1.215000, 0.065702, 0.078975, 0.988750, 0.094696, 0.092872, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 54, 48, 53, 52, 1.311250, 1.009416, 1.321790, 1.261250, 0.157990, 0.197977, 1.215000, 0.061243, 0.074115, 0.988750, 0.095000, 0.093860, 600, 46
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 49, 54, 52, 1.310000, 0.968590, 1.268080, 1.265000, 0.175253, 0.221375, 1.215000, 0.066248, 0.080190, 0.988750, 0.095000, 0.093860, 600, 47
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 54, 49, 54, 52, 1.311250, 1.209162, 1.584999, 1.262500, 0.159759, 0.200658, 1.215000, 0.069524, 0.083835, 0.988750, 0.095304, 0.093860, 600, 47
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 53, 49, 54, 53, 1.308750, 1.186146, 1.554846, 1.263750, 0.157746, 0.198291, 1.213750, 0.058240, 0.070354, 0.988750, 0.095304, 0.093860, 600, 47
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 54, 49, 54, 53, 1.311250, 1.147238, 1.503717, 1.263750, 0.180987, 0.227340, 1.215000, 0.071526, 0.086265, 0.988750, 0.095760, 0.093860, 600, 47
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 57, 59, 64, 58, 1.316250, 2.113362, 2.780708, 1.261250, 0.169214, 0.213109, 1.217500, 0.100282, 0.121700, 0.988750, 0.096216, 0.094848, 600, 48
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 58, 60, 60, 57, 1.317500, 2.362702, 3.110754, 1.260000, 0.188734, 0.236880, 1.215000, 0.071708, 0.086265, 0.988750, 0.098040, 0.096824, 600, 49
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 58, 60, 60, 58, 1.317500, 2.307628, 3.038319, 1.260000, 0.191967, 0.240660, 1.215000, 0.075257, 0.091125, 0.988750, 0.098800, 0.096824, 600, 49
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 58, 61, 61, 58, 1.317500, 2.331466, 3.069927, 1.263750, 0.183976, 0.231129, 1.213750, 0.066976, 0.080058, 0.988750, 0.099712, 0.097812, 600, 50
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 62, 61, 58, 1.316250, 2.220222, 2.921520, 1.262500, 0.148474, 0.186776, 1.213750, 0.065247, 0.078845, 0.988750, 0.100776, 0.098800, 600, 50
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 62, 62, 58, 1.317500, 2.322150, 3.058074, 1.255000, 0.244976, 0.306220, 1.213750, 0.065247, 0.078845, 0.988750, 0.101992, 0.099788, 600, 51
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 62, 62, 59, 1.317500, 2.358044, 3.105486, 1.262500, 0.177266, 0.223374, 1.213750, 0.075712, 0.090975, 0.988750, 0.102448, 0.100776, 600, 51
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 62, 63, 59, 1.316250, 2.171450, 2.857036, 1.253750, 0.223748, 0.279419, 1.213750, 0.071708, 0.086123, 0.988750, 0.102752, 0.100776, 600, 51
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 63, 63, 59, 1.317500, 1.928960, 2.535320, 1.262500, 0.160003, 0.201920, 1.215000, 0.069979, 0.083835, 0.988750, 0.103512, 0.101764, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 63, 63, 60, 1.317500, 2.355030, 3.101535, 1.253750, 0.256505, 0.320768, 1.215000, 0.075712, 0.091125, 0.988750, 0.103664, 0.101764, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 63, 64, 60, 1.316250, 2.111444, 2.778076, 1.261250, 0.181719, 0.228241, 1.215000, 0.072254, 0.087480, 0.988750, 0.104272, 0.102752, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 63, 63, 60, 1.315000, 1.932522, 2.540580, 1.260000, 0.203252, 0.255780, 1.213750, 0.067522, 0.081271, 0.988750, 0.105032, 0.103740, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 64, 63, 60, 1.317500, 2.338316, 3.079146, 1.262500, 0.172508, 0.217064, 1.215000, 0.070252, 0.085050, 0.988750, 0.104728, 0.102752, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 64, 61, 64, 61, 1.315000, 2.005132, 2.636575, 1.263750, 0.182512, 0.229866, 1.213750, 0.070980, 0.084910, 0.988750, 0.105488, 0.103740, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 56, 65, 62, 1.312500, 1.428636, 1.873536, 1.252500, 0.285968, 0.356820, 1.216250, 0.100009, 0.121600, 0.985000, 0.185288, 0.182225, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 56, 65, 60, 1.312500, 1.521522, 1.995552, 1.248750, 0.269986, 0.335712, 1.213750, 0.097734, 0.117661, 0.978750, 0.291232, 0.284598, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 55, 64, 61, 1.312500, 1.484806, 1.947008, 1.251250, 0.274012, 0.342774, 1.215000, 0.118482, 0.143370, 0.981250, 0.308408, 0.302148, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 55, 61, 62, 1.313750, 1.718254, 2.255734, 1.252500, 0.263764, 0.329276, 1.215000, 0.139776, 0.168885, 0.982500, 0.409944, 0.401638, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 55, 61, 62, 1.313750, 1.704554, 2.237352, 1.251250, 0.264008, 0.330264, 1.213750, 0.110474, 0.133430, 0.980000, 0.326648, 0.319480, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 55, 61, 62, 1.312500, 1.639068, 2.150368, 1.250000, 0.259494, 0.323750, 1.215000, 0.087724, 0.105705, 0.978750, 0.283936, 0.276774, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 69, 55, 62, 61, 1.312500, 1.603448, 2.103136, 1.250000, 0.288225, 0.360000, 1.216250, 0.093730, 0.113088, 0.983750, 0.218272, 0.214294, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 65, 56, 62, 63, 1.317500, 2.373388, 3.125241, 1.261250, 0.201483, 0.253461, 1.215000, 0.071708, 0.086265, 0.988750, 0.121296, 0.119548, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 63, 63, 62, 1.318750, 2.587930, 3.409666, 1.263750, 0.163236, 0.205869, 1.216250, 0.087724, 0.105792, 0.988750, 0.107464, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 64, 64, 61, 1.316250, 2.266254, 2.845192, 1.261250, 0.184464, 0.232024, 1.213750, 0.066976, 0.080058, 0.988750, 0.107008, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 64, 65, 61, 1.317500, 2.415584, 3.180555, 1.263750, 0.175497, 0.221025, 1.213750, 0.068978, 0.082484, 0.988750, 0.107008, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 64, 64, 61, 1.317500, 2.372840, 3.123924, 1.262500, 0.163236, 0.205706, 1.213750, 0.069251, 0.083697, 0.988750, 0.107008, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 64, 64, 62, 1.316250, 2.061302, 2.712276, 1.262500, 0.163236, 0.239970, 1.213750, 0.060970, 0.072780, 0.988750, 0.107312, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 64, 65, 62, 1.317500, 2.442710, 3.216114, 1.260000, 0.207217, 0.260820, 1.213750, 0.069251, 0.083697, 0.988750, 0.107312, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 64, 64, 62, 1.317500, 2.322424, 3.058074, 1.260000, 0.181719, 0.228060, 1.213750, 0.065520, 0.078845, 0.988750, 0.107464, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 64, 65, 62, 1.316250, 2.026230, 2.666216, 1.256250, 0.237961, 0.297672, 1.213750, 0.064701, 0.077632, 0.988750, 0.107768, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 64, 65, 62, 1.317500, 2.438326, 3.210846, 1.262500, 0.186965, 0.234732, 1.215000, 0.066976, 0.080190, 0.988750, 0.107768, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 65, 65, 62, 1.316250, 2.235566, 2.941260, 1.261250, 0.173972, 0.218153, 1.213750, 0.065975, 0.078845, 0.988750, 0.107768, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 65, 65, 62, 1.315000, 2.020202, 2.656300, 1.262500, 0.194712, 0.244828, 1.213750, 0.062972, 0.075206, 0.988750, 0.107768, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 65, 65, 62, 1.317500, 2.447368, 3.222699, 1.253750, 0.243756, 0.304479, 1.213750, 0.067704, 0.081271, 0.988750, 0.107768, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 65, 65, 62, 1.316250, 2.141858, 2.817556, 1.262500, 0.185501, 0.233470, 1.213750, 0.063518, 0.076419, 0.988750, 0.108224, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 65, 65, 62, 1.316250, 2.082948, 2.739912, 1.262500, 0.176717, 0.222112, 1.213750, 0.058513, 0.070354, 0.988750, 0.107920, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 65, 65, 62, 1.317500, 2.364620, 3.113388, 1.261250, 0.173972, 0.218153, 1.213750, 0.068978, 0.082484, 0.988750, 0.108224, 0.106704, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 65, 66, 62, 1.317500, 2.379690, 3.133143, 1.262500, 0.204960, 0.257448, 1.213750, 0.069524, 0.083697, 0.988750, 0.108528, 0.106704, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 64, 64, 60, 1.315000, 1.999926, 2.628685, 1.257500, 0.212463, 0.266484, 1.213750, 0.059969, 0.071567, 0.987500, 0.106552, 0.104622, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 64, 59, 70, 67, 1.317500, 2.395582, 3.154215, 1.262500, 0.175009, 0.220850, 1.216250, 0.092274, 0.111872, 0.988750, 0.106248, 0.104728, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 58, 70, 63, 1.315000, 2.008420, 2.640520, 1.262500, 0.183732, 0.230946, 1.213750, 0.071981, 0.086123, 0.988750, 0.107008, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 57, 70, 63, 1.313750, 1.665372, 2.186145, 1.263750, 0.180011, 0.227340, 1.215000, 0.067704, 0.081405, 0.987500, 0.106248, 0.104622, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 57, 69, 63, 1.316250, 2.096648, 2.758336, 1.262500, 0.174216, 0.219588, 1.215000, 0.075712, 0.091125, 0.988750, 0.106248, 0.104728, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 56, 69, 63, 1.315000, 1.943208, 2.555045, 1.262500, 0.189466, 0.238518, 1.215000, 0.066521, 0.080190, 0.988750, 0.105488, 0.103740, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 57, 69, 62, 1.313750, 1.645096, 2.159885, 1.263750, 0.177510, 0.223551, 1.213750, 0.067249, 0.081271, 0.988750, 0.105184, 0.103740, 600, 52
