Freq: MHz, Temp: C, Volt: V, Current: Amp, Power: W
A7 CPU0 Freq, A7 CPU1 Freq, A7 CPU2 Freq, A7 CPU3 Freq, A15 CPU0 Freq, A15 CPU1 Freq, A15 CPU2 Freq, A15 CPU3 Freq, A15 CPU0 Temp, A15 CPU1 Temp, A15 CPU2 Temp, A15 CPU3 Temp, A15 Volt, A15 Current, A15 Power, A7 Volt, A7 Current, A7 Power, Mem Volt, Mem Current, Mem Power, GPU Volt, GPU Curr, GPU Power, GPU Freq, GPU Temp
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 60, 57, 62, 63, 1.308750, 0.791312, 1.034628, 1.261250, 0.194712, 0.244634, 1.215000, 0.075712, 0.091125, 0.988750, 0.103512, 0.101764, 600, 51
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 61, 55, 62, 64, 1.316250, 2.301600, 3.028116, 1.263750, 0.162992, 0.204606, 1.215000, 0.074256, 0.089910, 0.988750, 0.104728, 0.102752, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 55, 63, 65, 1.315000, 2.063768, 2.712845, 1.261250, 0.180255, 0.226980, 1.215000, 0.073983, 0.087480, 0.988750, 0.105944, 0.103740, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 55, 64, 65, 1.316250, 2.081852, 2.738596, 1.263750, 0.183488, 0.231129, 1.213750, 0.069979, 0.083697, 0.988750, 0.106552, 0.104728, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 56, 64, 66, 1.315000, 1.933070, 2.541895, 1.262500, 0.157990, 0.198134, 1.215000, 0.076531, 0.092340, 0.988750, 0.107464, 0.105716, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 56, 64, 66, 1.313750, 1.665098, 2.186145, 1.262500, 0.178486, 0.224636, 1.215000, 0.073528, 0.088695, 0.988750, 0.107920, 0.105716, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 56, 64, 66, 1.316250, 2.076646, 2.732016, 1.263750, 0.183976, 0.231129, 1.215000, 0.072254, 0.087480, 0.988750, 0.107920, 0.105716, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 57, 64, 67, 1.315000, 1.932522, 2.540580, 1.261250, 0.177754, 0.223197, 1.215000, 0.076258, 0.092340, 0.988750, 0.108680, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 57, 65, 68, 1.313750, 1.674962, 2.197962, 1.261250, 0.196481, 0.247156, 1.215000, 0.075257, 0.091125, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 57, 64, 64, 1.317500, 2.276118, 2.997492, 1.258750, 0.188246, 0.236504, 1.220000, 0.121758, 0.147620, 0.991250, 0.473936, 0.468743, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 56, 62, 62, 1.311250, 1.213272, 1.590243, 1.256250, 0.191967, 0.239896, 1.213750, 0.243698, 0.294759, 0.997500, 1.944232, 1.938168, 600, 58
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 64, 57, 62, 61, 1.308750, 0.896802, 1.171968, 1.258750, 0.188734, 0.236504, 1.215000, 0.267995, 0.324405, 0.997500, 1.976760, 1.970072, 600, 59
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 65, 57, 62, 61, 1.311250, 1.337394, 1.752807, 1.258750, 0.196725, 0.246568, 1.215000, 0.266721, 0.323190, 0.997500, 2.001688, 1.994997, 600, 60
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 65, 57, 62, 61, 1.310000, 1.048324, 1.372880, 1.252500, 0.193736, 0.241636, 1.213750, 0.269997, 0.326297, 0.997500, 2.005488, 1.998985, 600, 60
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 66, 58, 62, 61, 1.311250, 1.314652, 1.722654, 1.251250, 0.190747, 0.237690, 1.213750, 0.266721, 0.322658, 0.997500, 2.015216, 2.008955, 600, 61
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 65, 58, 62, 62, 1.310000, 0.968316, 1.268080, 1.251250, 0.198494, 0.247698, 1.213750, 0.268996, 0.325084, 0.997500, 2.018256, 2.011946, 600, 61
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 66, 58, 62, 62, 1.311250, 1.320406, 1.730520, 1.248750, 0.182268, 0.227136, 1.213750, 0.264992, 0.320232, 0.998750, 2.024032, 2.019952, 600, 62
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 66, 59, 63, 62, 1.311250, 1.335750, 1.750185, 1.250000, 0.196481, 0.245000, 1.213750, 0.263718, 0.319019, 0.998750, 2.029808, 2.024942, 600, 62
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 66, 59, 63, 62, 1.310000, 1.133812, 1.484230, 1.250000, 0.203252, 0.253750, 1.215000, 0.267449, 0.324405, 0.997500, 2.038016, 2.021916, 600, 62
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 58, 62, 63, 1.311250, 1.329448, 1.742319, 1.250000, 0.182512, 0.227500, 1.215000, 0.263445, 0.319545, 0.998750, 2.034520, 2.029932, 600, 62
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 59, 63, 62, 1.311250, 1.293006, 1.695123, 1.250000, 0.187270, 0.233750, 1.213750, 0.267995, 0.323871, 0.997500, 2.027072, 2.020919, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 66, 59, 63, 63, 1.311250, 1.277662, 1.674147, 1.248750, 0.197762, 0.245856, 1.216250, 0.264264, 0.321024, 0.998750, 2.045920, 2.040910, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 59, 63, 63, 1.311250, 1.349176, 1.768539, 1.248750, 0.187270, 0.233376, 1.213750, 0.266266, 0.322658, 0.998750, 2.034976, 2.029932, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 59, 64, 63, 1.310000, 1.166144, 1.527460, 1.250000, 0.190503, 0.237500, 1.213750, 0.265720, 0.321445, 0.997500, 2.038776, 2.031886, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 68, 59, 64, 63, 1.311250, 1.343148, 1.760673, 1.250000, 0.190503, 0.237500, 1.213750, 0.261716, 0.316593, 0.997500, 2.038016, 2.031886, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 68, 59, 64, 63, 1.311250, 1.365342, 1.789515, 1.248750, 0.267729, 0.333216, 1.213750, 0.265720, 0.321445, 0.998750, 2.030568, 2.025940, 600, 63
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 68, 60, 64, 64, 1.310000, 1.028048, 1.346680, 1.248750, 0.188978, 0.234624, 1.213750, 0.257439, 0.311741, 0.997500, 2.037256, 2.030889, 600, 64
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 68, 60, 64, 63, 1.311250, 1.357670, 1.779027, 1.248750, 0.275964, 0.343200, 1.212500, 0.263263, 0.318756, 0.997500, 2.018256, 2.011946, 600, 63
