Freq: MHz, Temp: C, Volt: V, Current: Amp, Power: W
A7 CPU0 Freq, A7 CPU1 Freq, A7 CPU2 Freq, A7 CPU3 Freq, A15 CPU0 Freq, A15 CPU1 Freq, A15 CPU2 Freq, A15 CPU3 Freq, A15 CPU0 Temp, A15 CPU1 Temp, A15 CPU2 Temp, A15 CPU3 Temp, A15 Volt, A15 Current, A15 Power, A7 Volt, A7 Current, A7 Power, Mem Volt, Mem Current, Mem Power, GPU Volt, GPU Curr, GPU Power, GPU Freq, GPU Temp
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 55, 51, 56, 54, 1.308750, 0.782544, 1.022856, 1.263750, 0.163968, 0.205869, 1.215000, 0.062790, 0.075330, 0.988750, 0.100472, 0.098800, 600, 49
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 54, 59, 57, 1.310000, 1.002292, 1.312620, 1.263750, 0.168482, 0.212184, 1.217500, 0.089271, 0.108313, 0.988750, 0.100928, 0.098800, 600, 52
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 68, 55, 60, 59, 1.317500, 2.377224, 3.130509, 1.261250, 0.168238, 0.211848, 1.215000, 0.071253, 0.086265, 0.988750, 0.103664, 0.101764, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 69, 56, 62, 60, 1.315000, 1.924850, 2.530060, 1.255000, 0.234484, 0.293670, 1.213750, 0.064701, 0.077632, 0.988750, 0.107920, 0.105716, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 70, 57, 62, 61, 1.316250, 2.176108, 2.863616, 1.262500, 0.177266, 0.223374, 1.215000, 0.070980, 0.085050, 0.988750, 0.108984, 0.106704, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 71, 57, 62, 61, 1.317500, 2.352838, 3.097584, 1.255000, 0.191235, 0.239705, 1.215000, 0.072254, 0.087480, 0.988750, 0.108984, 0.106704, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 71, 58, 63, 62, 1.317500, 2.369278, 3.119973, 1.257500, 0.188246, 0.236316, 1.215000, 0.072982, 0.087480, 0.988750, 0.109744, 0.107692, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 71, 57, 63, 62, 1.316250, 2.116924, 2.784656, 1.258750, 0.175741, 0.220150, 1.215000, 0.070707, 0.085050, 0.988750, 0.110808, 0.108680, 600, 56
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 71, 58, 63, 62, 1.317500, 2.368456, 3.118656, 1.256250, 0.181719, 0.227336, 1.215000, 0.072527, 0.078975, 0.988750, 0.110960, 0.108680, 600, 56
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 72, 58, 64, 63, 1.317500, 2.422982, 3.189774, 1.252500, 0.237717, 0.296724, 1.215000, 0.085995, 0.103275, 0.988750, 0.111264, 0.109668, 600, 56
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 72, 58, 63, 63, 1.315000, 2.096922, 2.756240, 1.253750, 0.196969, 0.245588, 1.215000, 0.074529, 0.089910, 0.988750, 0.112024, 0.110656, 600, 57
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 72, 59, 64, 63, 1.315000, 1.963484, 2.581345, 1.255000, 0.187270, 0.234685, 1.213750, 0.067977, 0.081271, 0.988750, 0.112784, 0.110656, 600, 57
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 67, 59, 67, 64, 1.317500, 2.529568, 3.330693, 1.250000, 0.217709, 0.271250, 1.217500, 0.091273, 0.110747, 0.988750, 0.112936, 0.110656, 600, 56
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 64, 62, 1.312500, 1.562074, 2.049344, 1.248750, 0.271999, 0.338208, 1.215000, 0.086450, 0.104490, 0.985000, 0.190912, 0.187150, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 63, 61, 1.311250, 1.389454, 1.820979, 1.250000, 0.270718, 0.337500, 1.213750, 0.100737, 0.121300, 0.980000, 0.291992, 0.285180, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 63, 61, 1.311250, 1.354930, 1.775094, 1.250000, 0.265472, 0.331250, 1.215000, 0.130221, 0.157950, 0.981250, 0.362672, 0.355122, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 63, 60, 1.312500, 1.544812, 2.025728, 1.250000, 0.264740, 0.330000, 1.215000, 0.125762, 0.151875, 0.981250, 0.390488, 0.382590, 600, 55
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 63, 60, 1.312500, 1.544812, 2.025728, 1.251250, 0.267973, 0.334017, 1.215000, 0.125762, 0.151875, 0.981250, 0.320264, 0.313920, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 62, 60, 1.313750, 1.733872, 2.275429, 1.248750, 0.282491, 0.351936, 1.215000, 0.102466, 0.123930, 0.980000, 0.286216, 0.280280, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 57, 64, 69, 1.313750, 1.708116, 2.242604, 1.251250, 0.283223, 0.354033, 1.215000, 0.084266, 0.102060, 0.988750, 0.134216, 0.132392, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 57, 64, 66, 1.317500, 2.308176, 3.039636, 1.261250, 0.178730, 0.224458, 1.215000, 0.068978, 0.082620, 0.988750, 0.120232, 0.118560, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 58, 74, 66, 1.316250, 2.057740, 2.707012, 1.256250, 0.177754, 0.222312, 1.215000, 0.079261, 0.095985, 0.988750, 0.109440, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 75, 66, 1.318750, 2.442436, 3.218556, 1.261250, 0.197762, 0.248417, 1.215000, 0.070525, 0.085050, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 76, 66, 1.317500, 2.308176, 3.039636, 1.262500, 0.168970, 0.212016, 1.213750, 0.064246, 0.077632, 0.988750, 0.108680, 0.106704, 600, 53
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 59, 76, 66, 1.318750, 2.443532, 3.219874, 1.261250, 0.179767, 0.225719, 1.213750, 0.070252, 0.084910, 0.988750, 0.108528, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 76, 67, 1.318750, 2.451478, 3.230418, 1.261250, 0.189222, 0.238329, 1.213750, 0.071253, 0.086123, 0.988750, 0.108528, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.317500, 2.197206, 2.893449, 1.261250, 0.173484, 0.218153, 1.213750, 0.062972, 0.075206, 0.988750, 0.108680, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.318750, 2.458328, 3.239644, 1.262500, 0.188978, 0.237256, 1.213750, 0.068250, 0.082484, 0.988750, 0.108680, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.317500, 2.421886, 3.188457, 1.262500, 0.185989, 0.233470, 1.215000, 0.066248, 0.080190, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.316250, 2.127884, 2.799132, 1.263750, 0.177754, 0.223551, 1.213750, 0.060788, 0.072780, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.318750, 2.466822, 3.250188, 1.260000, 0.203740, 0.255780, 1.215000, 0.065702, 0.078975, 0.988750, 0.108680, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.317500, 2.366538, 3.116022, 1.261250, 0.176229, 0.221936, 1.213750, 0.061516, 0.073993, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.316250, 2.064590, 2.716224, 1.256250, 0.221979, 0.277576, 1.213750, 0.063518, 0.076419, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.318750, 2.459972, 3.240962, 1.261250, 0.204716, 0.257244, 1.213750, 0.063518, 0.076419, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.316250, 2.242690, 2.950472, 1.256250, 0.221979, 0.277576, 1.213750, 0.066703, 0.080058, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.316250, 2.051986, 2.699116, 1.262500, 0.185745, 0.233470, 1.213750, 0.068523, 0.082484, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.317500, 2.327904, 3.064659, 1.261250, 0.209230, 0.263549, 1.213750, 0.067977, 0.081271, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.317500, 2.327904, 3.064659, 1.261250, 0.172020, 0.216892, 1.213750, 0.067522, 0.081271, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.318750, 2.473946, 3.259414, 1.255000, 0.252723, 0.316260, 1.213750, 0.070525, 0.084910, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 62, 60, 77, 67, 1.317500, 2.441066, 3.214797, 1.261250, 0.172264, 0.216892, 1.213750, 0.062790, 0.075206, 0.988750, 0.109288, 0.107692, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.317500, 2.390102, 3.147630, 1.261250, 0.192516, 0.242112, 1.213750, 0.069979, 0.083697, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 60, 77, 67, 1.318750, 2.467918, 3.251506, 1.260000, 0.216001, 0.272160, 1.215000, 0.068250, 0.082620, 0.988750, 0.108984, 0.106704, 600, 54
1400, 1400, 1400, 1400, 2000, 2000, 2000, 2000, 63, 59, 77, 67, 1.317500, 2.378046, 3.131826, 1.262500, 0.187758, 0.235994, 1.213750, 0.059787, 0.071567, 0.988750, 0.108984, 0.106704, 600, 54
